,iter,score 0,score 1,score 2,score 3
0,1,-16.008095301943683,-17.6211882523128,-7.934979639421631,9.548072589790744
1,2,-21.501332353705465,-19.37317971093314,-8.565673479495665,6.437520836723339
2,3,-21.43785570519275,-20.345331651142665,-8.385475366209743,7.2929513121596585
3,4,-29.00073499864889,-24.92925407988685,-9.101835301362538,5.0303543826004855
4,5,-30.308955591320192,-26.38127133233207,-9.18004950568572,5.252365246697589
5,6,-32.712074902364066,-28.633780621960046,-9.198871724954335,5.120577444550321
6,7,-32.705057044285105,-28.55510183279287,-9.180780561694489,5.030825350202257
7,8,-34.49982111196654,-30.065233925268775,-9.308647546497662,4.874060359799888
8,9,-35.31344742416896,-30.752165621365823,-9.328750381609407,4.767468578806257
9,10,-37.42035651412958,-32.67923401204745,-9.345694759912039,4.604572257829904
