,iter,overall,complex_contacts,binder_pLDDT,RMSD
0,1,-12.932442483747007,-13.937141677311491,-8.03782048184394,9.04251967540843
1,2,-12.932442483747007,-13.937141677311491,-8.03782048184394,9.04251967540843
2,3,-16.658908849722636,-16.545135334559852,-8.740161328281612,8.626387813118827
3,4,-18.149797981611393,-17.830760315486366,-8.890904683746164,8.571867017621134
4,5,-18.149797981611393,-17.830760315486366,-8.890904683746164,8.571867017621134
5,6,-19.81588755052725,-19.471249682562693,-8.088916507233057,7.744278639268498
6,7,-23.001682560935823,-22.733242954526624,-7.728939999631063,7.460500393221864
7,8,-27.475751362033648,-24.835727185862407,-8.613492980009553,5.973468803838315
8,9,-27.475751362033648,-24.835727185862407,-8.613492980009553,5.973468803838315
9,10,-27.475751362033648,-24.835727185862407,-8.613492980009553,5.973468803838315
