,iter,score 0,score 1,score 2,score 3
0,1,-16.547985355277973,-16.7549696622576,-8.149495108605667,8.356479415585293
1,2,-16.773203271599083,-18.886620962279185,-7.948759194042433,10.062176884722529
2,3,-18.068716669996604,-20.742387547492978,-7.887824790330436,10.56149566782681
3,4,-16.698190086371383,-18.30971310695012,-7.986371132896608,9.597894153475348
4,5,-17.784450866721134,-18.14516559507733,-8.03681197114169,8.397526699497888
5,6,-18.757576936807485,-18.12284275926862,-8.235839417975379,7.601105240436517
6,7,-20.53550417573486,-18.0756523701804,-8.56330608617607,6.103454280621613
7,8,-24.0346765617997,-21.001532883575987,-8.89104701944218,5.857903341218465
8,9,-23.584822400349537,-20.491860905681335,-8.800709975656138,5.707748480987936
9,10,-25.087706500601527,-22.197219855081467,-8.7009310853152,5.810444439795139
