,iter,score 0,score 1,score 2,score 3
0,1,-16.12528907837474,-17.80448043845949,-7.784291268646481,9.463482628731226
1,2,-23.812125261142043,-21.558806524447032,-8.594667539693441,6.341348802998431
2,3,-28.841084596452923,-26.575024329934802,-8.775489131604314,6.509428865086193
3,4,-33.28234477047766,-30.48872969525201,-8.725815274329928,5.932200199104282
4,5,-33.483196597778786,-30.239458731753484,-8.7875309848508,5.543793118825504
5,6,-33.117009730111185,-29.82172553231603,-8.75881770050067,5.463533502705507
6,7,-33.84583166478934,-31.30291819463457,-8.784362398409396,6.241448928254631
7,8,-33.89733291527106,-31.30615946034023,-8.785985883109314,6.19481242817848
8,9,-34.199653917798145,-31.299367538406734,-8.685050085678714,5.7847637062873005
9,10,-35.200830068250404,-31.705733830417905,-8.999643092281628,5.504546854449123
